MapID,Algorithm,PathLength,NodesVisited,TimeMs
257da458988ec7f5,JPS,0,9,15.032
257da458988ec7f5,A*,85,1093,23.584
257da458988ec7f5,Dijkstra,85,4973,44.892
257da458988ec7f5,JPS,0,9,14.643
257da458988ec7f5,JPS,28,5,48.799
257da458988ec7f5,JPS,0,8,14.490
257da458988ec7f5,JPS,48,9,58.861
257da458988ec7f5,JPS,0,9,14.624
257da458988ec7f5,JPS,0,9,14.677
257da458988ec7f5,JPS,0,8,20.339
257da458988ec7f5,JPS,23,5,50.524
257da458988ec7f5,JPS,40,9,49.247
257da458988ec7f5,A*,76,705,19.776
257da458988ec7f5,Dijkstra,76,4892,42.015
257da458988ec7f5,JPS,46,5,53.942
257da458988ec7f5,JPS,47,6,50.563
257da458988ec7f5,JPS,36,4,57.674
257da458988ec7f5,JPS,0,7,13.861
257da458988ec7f5,JPS,0,9,14.497
3b226f704bce2940,JPS,38,2,59.093
123672e6e8e673f1,JPS,74,17,51.761
3b68da8387839291,JPS,40,24,31.594
1fc87c2de080948d,JPS,39,25,27.122
3b226f704bce2940,JPS,44,3,72.071
c8e53dfe43c3c9b4,JPS,0,23,50.521
c8e53dfe43c3c9b4,JPS,0,23,50.444
c8e53dfe43c3c9b4,JPS,0,23,51.087
e2abda581f356f0d,JPS,0,18,42.535
e2abda581f356f0d,JPS,0,18,42.542
e2abda581f356f0d,JPS,51,6,34.484
e2abda581f356f0d,JPS,0,19,43.548
e2abda581f356f0d,JPS,54,5,27.974
e2abda581f356f0d,JPS,0,19,43.310
2206480804317c77,JPS,48,9,67.113
1b8c7dc923d68880,JPS,48,9,67.341
439b266204c62156,JPS,0,13,45.398
805614492cbe8434,JPS,0,14,40.613
805614492cbe8434,JPS,36,11,21.684
805614492cbe8434,JPS,0,14,40.190
805614492cbe8434,JPS,26,9,19.678
805614492cbe8434,JPS,16,9,15.598
805614492cbe8434,JPS,12,6,15.319
805614492cbe8434,JPS,0,7,37.484
805614492cbe8434,JPS,0,7,37.414
805614492cbe8434,A*,41,188,14.482
805614492cbe8434,JPS,0,7,37.197
805614492cbe8434,JPS,29,7,19.167
805614492cbe8434,A*,49,260,14.849
805614492cbe8434,JPS,29,7,19.167
805614492cbe8434,JPS,52,7,19.017
805614492cbe8434,JPS,0,7,37.265
